hotel,price,score,avg review,reviews count
CARD Hôtel,"US$1,133",8.9,Excellent,242
Atala powered by Sonder,"US$1,171",8.1,Very Good,"1,139"
UCPA SPORT STATION HOSTEL PARIS,US$114,8.0,Very Good,"5,138"
Le Relais du Marais,US$609,8.0,Very Good,"1,131"
Hôtel Plaza Étoile,US$753,8.2,Very Good,"1,399"
La Dépendance,"US$1,003",8.9,Excellent,157
Hotel Elysees Opera,US$705,8.5,Very Good,625
Austin's Arts Et Metiers Hotel,US$819,8.2,Very Good,"2,025"
Grand Hotel Francais,US$611,8.6,Excellent,706
Austin's Saint Lazare Hotel,US$653,8.1,Very Good,"2,535"
Hôtel Korner Etoile,US$610,8.3,Very Good,"1,449"
Timhotel Montmartre,US$687,8.3,Very Good,"2,282"
Timhotel Opéra Blanche Fontaine,US$621,8.0,Very Good,"1,682"
Le Grey Hotel,US$919,8.6,Excellent,"1,806"
Grand Hotel Dore,US$454,8.2,Very Good,"1,004"
Hôtel Duo,US$687,8.4,Very Good,849
St Christopher's Inn Paris - Canal,US$85,7.3,Good,"6,510"
Normandy Le Chantier,"US$1,300",8.0,Very Good,"1,065"
Manolita Paris,"US$1,710",9.3,Wonderful,232
Hôtel Marais Hôme,"US$1,013",8.2,Very Good,"1,273"
Hôtel Brésil Opéra SPA,US$793,8.2,Very Good,"2,791"
Le Katorze Hôtel,US$716,8.4,Very Good,"1,199"
Generator Paris,US$104,7.3,Good,"9,519"
Le Regent Montmartre by Hiphophostels,US$99,7.4,Good,"5,876"
Juliana Hotel Paris,"US$1,752",8.5,Very Good,410
Maison Eugenie,US$741,8.1,Very Good,600
